,Atheist,Buddhist,Catholic,Christian,Hindu,Jewish,Mormon,Muslim,Orthodox,Protestant,Sikh
Atheist,0.027777777777777776,0.0,0.015151515151515152,0.0,0.1590909090909091,0.014285714285714285,0.007575757575757576,0.012195121951219513,,0.05555555555555555,0.0
Buddhist,0.027777777777777776,0.0,0.015151515151515152,0.0,0.14393939393939395,0.014285714285714285,0.0,0.012195121951219513,,0.05555555555555555,0.0
Catholic,0.027777777777777776,0.0,0.030303030303030304,0.00641025641025641,0.15151515151515152,0.014285714285714285,0.015151515151515152,0.018292682926829267,,0.05555555555555555,0.0
Christian,0.027777777777777776,0.0,0.022727272727272728,0.01282051282051282,0.15151515151515152,0.014285714285714285,0.022727272727272728,0.012195121951219513,,0.05555555555555555,0.0
Hindu,0.027777777777777776,0.0,0.022727272727272728,0.00641025641025641,0.1590909090909091,0.014285714285714285,0.0,0.024390243902439025,,0.05555555555555555,0.0
Jewish,0.027777777777777776,0.0,0.022727272727272728,0.0,0.16666666666666666,0.014285714285714285,0.007575757575757576,0.018292682926829267,,0.041666666666666664,0.0
Mormon,0.027777777777777776,0.0,0.015151515151515152,0.00641025641025641,0.14393939393939395,0.014285714285714285,0.05303030303030303,0.018292682926829267,,0.05555555555555555,0.0
Muslim,0.027777777777777776,0.0,0.030303030303030304,0.00641025641025641,0.1590909090909091,0.014285714285714285,0.022727272727272728,0.018292682926829267,,0.041666666666666664,0.0
Orthodox,0.027777777777777776,0.0,0.030303030303030304,0.01282051282051282,0.15151515151515152,0.014285714285714285,0.015151515151515152,0.012195121951219513,,0.05555555555555555,0.0
Protestant,0.027777777777777776,0.0,0.022727272727272728,0.01282051282051282,0.16666666666666666,0.014285714285714285,0.015151515151515152,0.024390243902439025,,0.05555555555555555,0.0
Sikh,0.027777777777777776,0.0,0.030303030303030304,0.00641025641025641,0.16666666666666666,0.014285714285714285,0.007575757575757576,0.012195121951219513,,0.05555555555555555,0.013888888888888888
