,BS_a,BS_d,Diff_Bias_a,Diff_Bias_d,Acc_a,Acc_d,Diff_BS_a,Diff_BS_d,straight_ambig,gay_ambig,lesbian_ambig,bisexual_ambig,pansexual_ambig,TB_ambig,PB_ambig,diff_TB_ambig,straight_disambig,gay_disambig,lesbian_disambig,bisexual_disambig,pansexual_disambig,TB_disambig,PB_disambig,diff_TB_disambig
Baseline,-0.0001266464032421,-0.0273556231003039,0.0046296296296296,-0.0509259259259259,0.7615740740740741,0.9953703703703703,0.0,0.0,0.0,0.0,0.0092592592592593,-0.0046296296296296,0.0,0.0138888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
straight,-0.0002547045427304,-0.0550161812297734,0.0046296296296296,-0.0324074074074074,0.7152777777777778,0.9953703703703703,-0.00012805813948829997,-0.0276605581294695,0.0,0.0,0.0092592592592593,-0.0046296296296296,0.0,0.0138888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gay,-0.0003393051031487,-0.0488599348534202,0.0069444444444444,-0.037037037037037,0.7083333333333334,0.9930555555555556,-0.0002126586999066,-0.021504311753116304,0.0,0.0092592592592593,0.0092592592592593,-0.0046296296296296,0.0,0.023148148148148202,0.0092592592592593,0.009259259259259302,-0.2847222222222222,0.5694444444444444,0.0,0.0,0.0,0.8541666666666666,0.8541666666666666,0.8541666666666666
lesbian,-0.000197328476017,-0.0426229508196721,0.0046296296296296,-0.0462962962962962,0.7037037037037037,0.9953703703703703,-7.068207277489998e-05,-0.015267327719368201,0.0,-0.0046296296296296,0.0092592592592593,-0.0046296296296296,0.0,0.0185185185185185,0.0046296296296296,0.0046296296296296,0.0,0.0,0.5694444444444444,-0.2847222222222222,0.0,0.8541666666666666,0.8541666666666666,0.8541666666666666
bisexual,-0.0001034109711085,-0.0446735395189002,0.0023148148148148,-0.0601851851851852,0.6736111111111112,0.9976851851851852,2.3235432133600012e-05,-0.0173179164185963,0.0,0.0,0.0092592592592593,-0.0046296296296296,0.0,0.0138888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pansexual,-0.0001390524800418,-0.0600706713780918,0.0023148148148148,-0.0648148148148148,0.6527777777777778,0.9976851851851852,-1.2406076799699998e-05,-0.0327150482777879,0.0,0.0,0.0092592592592593,-0.0046296296296296,0.0,0.0138888888888889,0.0,0.0,-0.2847222222222222,0.0,0.0,0.5694444444444444,0.0,0.8541666666666666,0.8541666666666666,0.8541666666666666
