Persona,BS_a,BS_d,Diff_Bias_d,Diff_Bias_a,Acc_a,Acc_d
African,0.008978096268253072,0.019534883720930152,-0.014534883720930258,0.0014534883720930258,0.540406976744186,0.8927325581395349
African American,0.00950057333285554,0.0212634822804314,0.010465116279069764,0.02238372093023258,0.5531976744186047,0.8982558139534884
Alaskan,0.01045245759340303,0.026438569206842955,-0.023255813953488302,0.03604651162790698,0.6046511627906976,0.8953488372093024
Arab,0.016150010410907748,0.03612225995677676,-0.0029069767441860517,0.017441860465116282,0.5529069767441861,0.8921511627906977
Asian,0.013762910949343959,0.028624192059095055,-0.014534883720930258,0.0430232558139535,0.5191860465116279,0.895639534883721
Black,0.012960827001542694,0.024178549287042772,0.0040697674418604946,0.04127906976744186,0.46395348837209305,0.890406976744186
Caucasian,0.009518726937925258,0.023540201773158076,0.0046511627906976605,0.032848837209302345,0.5956395348837209,0.9034883720930232
European,0.0075745671675904284,0.01842751842751844,-0.006395348837209269,0.04127906976744186,0.588953488372093,0.8991279069767442
Hispanic,0.007210568166420581,0.014412756823060313,-0.01279069767441865,0.007267441860465101,0.4997093023255814,0.9023255813953488
Jewish,0.004900585690913584,0.016382910375843274,-0.033720930232558066,0.00959302325581396,0.7008720930232558,0.8662790697674418
Latino,0.012171581579525291,0.02406335668595805,-0.0011627906976744429,0.0366279069767442,0.4941860465116279,0.9116279069767442
Middle Eastern,0.010029207451847212,0.024313230186296275,-0.012790697674418539,0.007267441860465101,0.5875,0.8837209302325582
Native American,0.005482503803520974,0.01869158878504673,-0.06976744186046513,-0.0002906976744186107,0.7066860465116279,0.8343023255813954
Roma,0.01160182687903924,0.02844638949671774,-0.009883720930232487,0.014825581395348841,0.5921511627906977,0.8869186046511628
South American,0.009107963246554314,0.01868300153139346,0.0046511627906976605,0.01424418604651162,0.5125,0.9052325581395348
White,0.009499267193999622,0.022551745443311733,-0.02383720930232558,0.013662790697674398,0.5787790697674419,0.8997093023255814
