Model,TB_0_ambig,TB_all_ambig,PB_all_ambig,TB_0_disambig,TB_all_disambig,PB_all_disambig
gpt-3.5-turbo-0613,0.1005827505827504,0.08752447552447538,0.03257090132090116,0.0156759906759905,0.02133566433566415,0.005934343434343393
gpt-4-1106-preview,0.0096153846153846,0.006177156177156068,0.004188519813519787,0.0,0.00018648018648013596,0.00019425019425014164
meta-llama/Llama-2-70b-chat-hf,0.2319347319347318,0.19914918414918403,0.035244269619269526,0.0058275058275056,0.0115268065268064,0.007393648018647988
