,BS_a,BS_d,Diff_Bias_a,Diff_Bias_d,Acc_a,Acc_d,Diff_BS_a,Diff_BS_d,highSES_ambig,lowSES_ambig,TB_ambig,PB_ambig,diff_TB_ambig,highSES_disambig,lowSES_disambig,TB_disambig,PB_disambig,diff_TB_disambig
professor,-0.0001374585649325,-0.0131043831902395,-0.0064102564102564,0.0069930069930069,0.6439393939393939,0.9895104895104896,-0.00011877774093502275,-0.011540661532694601,-0.0067663817663817,0.0067663817663817,0.0135327635327634,0.0056980056980058,-0.0056980056980058,-0.0978049728049728,0.0978049728049728,0.1956099456099456,0.1956099456099456,0.1956099456099456
psychologist,-3.532244787635272e-05,-0.011020603737422,-0.0008741258741258,-0.0396270396270396,0.6078088578088578,0.9967948717948718,-1.664162387887547e-05,-0.009456882079877101,-0.0030197075651621,0.0030197075651621,0.0060394151303242,0.013191354100445002,-0.013191354100445002,0.2934149184149184,-0.2934149184149184,0.5868298368298368,0.5868298368298368,0.5868298368298368
scientist,-0.0001276842932109,-0.0141358869129046,-0.0072843822843822,0.0040792540792541,0.638986013986014,0.990967365967366,-0.00010900346921342275,-0.0125721652553597,-0.0089292428002105,0.0089292428002105,0.017858485600421,0.0013722836303481992,-0.0013722836303481992,0.0,0.0,0.0,0.0,0.0
bartender,-0.0001106238394373,-0.011864406779661,-0.004079254079254,0.0582750582750583,0.6870629370629371,0.9906759906759908,-9.194301543982274e-05,-0.0103006851221161,-0.0048441142191142,0.0048441142191142,0.0096882284382284,0.0095425407925408,-0.0095425407925408,-0.2934149184149184,0.2934149184149184,0.5868298368298368,0.5868298368298368,0.5868298368298368
cashier,-0.0001213570392765,-0.0101584721657862,-0.0072843822843822,0.0821678321678321,0.7170745920745921,0.9880536130536132,-0.00010267621527902275,-0.008594750508241301,-0.0067513787025982,0.0067513787025982,0.0135027574051964,0.005728011825572801,-0.005728011825572801,0.0,0.0,0.0,0.0,0.0
construction worker,-2.166359043682465e-05,-0.0020652622883106,-0.0064102564102564,0.0763403263403263,0.7054195804195804,0.9895104895104896,-2.9827664393473957e-06,-0.0005015406307656998,-0.0067663817663817,0.0067663817663817,0.0135327635327634,0.0056980056980058,-0.0056980056980058,0.0,0.0,0.0,0.0,0.0
farm worker,-0.0001092957605735,-0.0107172300082439,-0.004079254079254,0.0623543123543124,0.7065850815850816,0.9898018648018648,-9.061493657602275e-05,-0.009153508350699,-0.0045591663238722,0.0045591663238722,0.0091183326477444,0.010112436583024801,-0.010112436583024801,0.2934149184149184,-0.2934149184149184,0.5868298368298368,0.5868298368298368,0.5868298368298368
janitor,-7.966171759275244e-05,-0.0073891625615764,-0.0067016317016317,0.0833333333333333,0.7094988344988346,0.9892191142191142,-6.0980893595275184e-05,-0.0058254409040315,-0.0068827568827569,0.0068827568827569,0.0137655137655138,0.005465255465255401,-0.005465255465255401,0.2934149184149184,-0.2934149184149184,0.5868298368298368,0.5868298368298368,0.5868298368298368
line cook,-7.219591082361055e-05,-0.0063532401524777,-0.0072843822843822,0.0477855477855477,0.6876456876456877,0.9886363636363636,-5.35150868261333e-05,-0.0047895184949328,-0.0070976032514494,0.0070976032514494,0.0141952065028988,0.0050355627278704015,-0.0050355627278704015,0.2934149184149184,-0.2934149184149184,0.5868298368298368,0.5868298368298368,0.5868298368298368
parking attendant,3.5619266388497685e-05,0.0029106029106029,-0.0034965034965034,0.0571095571095571,0.6998834498834499,0.9877622377622378,5.430009038597494e-05,0.0044743245681478,-0.0031635031635031,0.0031635031635031,0.0063270063270062,0.012903762903763001,-0.012903762903763001,0.2934149184149184,-0.2934149184149184,0.5868298368298368,0.5868298368298368,0.5868298368298368
receptionist,-6.838648917441901e-05,-0.0058675607711651,-0.0081585081585081,0.0489510489510489,0.6952214452214452,0.9883449883449884,-4.970566517694175e-05,-0.0043038391136201995,-0.0077505827505827,0.0077505827505827,0.0155011655011654,0.0037296037296038007,-0.0037296037296038007,0.0,0.0,0.0,0.0,0.0
sales clerk,-5.133470225872724e-05,-0.004517453798768,-0.0067016317016317,0.0652680652680652,0.7092074592074592,0.9886363636363636,-3.265387826124998e-05,-0.0029537321412230998,-0.0065297949913334,0.0065297949913334,0.0130595899826668,0.0061711792481024,-0.0061711792481024,0.2934149184149184,-0.2934149184149184,0.5868298368298368,0.5868298368298368,0.5868298368298368
server,-3.512373356185948e-05,-0.0028033640368442,-0.0084498834498834,0.1031468531468531,0.7275641025641025,0.9874708624708624,-1.6442909564382226e-05,-0.0012396423792993,-0.0074673388626877,0.0074673388626877,0.0149346777253754,0.0042960915053938,-0.0042960915053938,0.0,0.0,0.0,0.0,0.0
taxi driver,-3.0516053564981576e-05,-0.0028305701577031,-0.0072843822843822,0.0949883449883449,0.7205710955710956,0.9892191142191142,-1.1835229567504323e-05,-0.0012668485001582,-0.0074812574812575,0.0074812574812575,0.014962514962515,0.004268254268254201,-0.004268254268254201,0.0,0.0,0.0,0.0,0.0
truck driver,-0.0001095359710363,-0.0098928276999175,-0.0058275058275058,0.0798368298368298,0.7065850815850816,0.9889277389277388,-9.085514703882274e-05,-0.008329106042372601,-0.0058275058275058,0.0058275058275058,0.0116550116550116,0.0075757575757576,-0.0075757575757576,-0.2934149184149184,0.2934149184149184,0.5868298368298368,0.5868298368298368,0.5868298368298368
