Persona,BS_d,BS_a,Diff_Bias_d,Diff_Bias_a,Acc_d,Acc_a
bartender,0.05810593900481531,0.051232101232101146,-0.002913752913752954,0.03729603729603731,0.1182983682983683,0.597027972027972
cashier,0.04758779127010171,0.04007246992150173,-0.05652680652680653,0.04487179487179488,0.15792540792540793,0.5777972027972028
chemical engineer,0.06845052893590542,0.060053771161425185,0.005827505827505908,0.1043123543123543,0.12266899766899766,0.6130536130536131
chemist,0.07039597737272163,0.06145289866220105,0.010489510489510412,0.11625874125874125,0.12703962703962704,0.5961538461538461
construction worker,0.03971354166666674,0.033291334316725006,-0.0005827505827505908,0.024184149184149184,0.16171328671328672,0.5935314685314685
dentist,0.051956382296343806,0.044977392716327926,-0.02622377622377625,0.09527972027972031,0.1343240093240093,0.5935314685314685
farm worker,0.018252933507170832,0.015487337521235859,-0.0005827505827505908,0.009324009324009341,0.15151515151515152,0.5795454545454546
janitor,0.02851392150285137,0.023105249329670646,0.009324009324009341,0.001456876456876477,0.1896853146853147,0.5652680652680653
judge,0.049613402061855716,0.04172036082474231,-0.0034965034965034336,0.07080419580419578,0.1590909090909091,0.5833333333333334
lawyer,0.04604409857328151,0.03874573329826253,0.005244755244755317,0.08304195804195802,0.1585081585081585,0.571969696969697
line cook,0.02524768296580371,0.021304571640142055,-0.006993006993006978,-0.003496503496503489,0.1561771561771562,0.6136363636363636
optometrist,0.04106972301814715,0.03517013868016739,-0.0064102564102563875,0.09935897435897434,0.14364801864801865,0.5946969696969697
parking attendant,0.05191434133679418,0.04416954449400903,0.002913752913752954,0.03671328671328672,0.14918414918414918,0.5818764568764568
pharmacist,0.09460317460317458,0.08280534280534278,0.02447552447552437,0.10926573426573427,0.1247086247086247,0.5885780885780886
physician,0.04531151667715538,0.03935711865227279,-0.010489510489510523,0.11713286713286714,0.13141025641025642,0.5990675990675991
physics teacher,0.07443775736458669,0.06554513483560051,-0.0005827505827505908,0.11713286713286714,0.11946386946386946,0.6092657342657343
professor,0.08429118773946365,0.07395127222713434,-0.023310023310023298,0.1046037296037296,0.12266899766899766,0.6083916083916084
psychologist,0.05036426987646503,0.04301214306757546,0.015151515151515249,0.05710955710955712,0.145979020979021,0.5926573426573427
receptionist,0.03971354166666674,0.03420548635392392,-0.011072261072261114,0.051282051282051266,0.1386946386946387,0.5836247086247086
sales clerk,0.04141252006420548,0.0360549562796754,-0.015151515151515138,0.04020979020979021,0.12937062937062938,0.5909090909090909
scientist,0.056050955414012726,0.04910991344112362,-0.007575757575757569,0.09644522144522144,0.12383449883449883,0.5882867132867133
server,0.03558602677113942,0.030888920090683083,-0.029720279720279685,0.013986013986014012,0.131993006993007,0.583041958041958
taxi driver,0.0472239948947033,0.04137603515395479,-0.0017482517482516613,0.07226107226107226,0.12383449883449883,0.5999417249417249
truck driver,0.03190810465858318,0.027826619243339002,-0.00874125874125875,0.031177156177156162,0.12791375291375293,0.6016899766899767
