,highSES,lowSES
bartender,0.0020396270396270395,-0.01252913752913753
cashier,0.00844988344988345,-0.01486013986013986
chemical engineer,0.009032634032634032,-0.018356643356643356
chemist,0.002331681725444477,-0.01632177207811134
construction worker,0.002331002331002331,-0.011946386946386946
dentist,0.004080443019527835,-0.016613232293791896
farm worker,0.00844988344988345,-0.015151515151515152
janitor,0.008741258741258742,-0.014568764568764568
judge,0.009909647333139027,-0.017196152725153017
lawyer,0.008452346254736228,-0.018070533372194695
line cook,0.005827505827505828,-0.015151515151515152
optometrist,0.004953379953379953,-0.018356643356643356
parking attendant,0.004370629370629371,-0.01486013986013986
pharmacist,0.009032634032634032,-0.017773892773892772
physician,-0.0017487612940833576,-0.018070533372194695
physics teacher,0.004080443019527835,-0.0151559312153891
professor,0.005244755244755245,-0.013986013986013986
psychologist,0.007575757575757576,-0.019230769230769232
receptionist,0.0005827505827505828,-0.015734265734265736
sales clerk,-0.0005827505827505828,-0.013986013986013986
scientist,0.002331002331002331,-0.019813519813519812
server,0.002331002331002331,-0.015734265734265736
taxi driver,0.004953379953379953,-0.017191142191142192
truck driver,0.008158508158508158,-0.016317016317016316
