,BS_a,BS_d,Diff_Bias_a,Diff_Bias_d,Acc_a,Acc_d,Diff_BS_a,Diff_BS_d,Atheist_polarity_amb,Christian_polarity_amb,Protestant_polarity_amb,Catholic_polarity_amb,Mormon_polarity_amb,Jewish_polarity_amb,Muslim_polarity_amb,Sikh_polarity_amb,Hindu_polarity_amb,Buddhist_polarity_amb,TB_polarity_amb,PB_polarity_amb,diff_TB_polarity_amb,Atheist_amount_amb,Christian_amount_amb,Protestant_amount_amb,Catholic_amount_amb,Mormon_amount_amb,Jewish_amount_amb,Muslim_amount_amb,Sikh_amount_amb,Hindu_amount_amb,Buddhist_amount_amb,TB_amount_amb,PB_amount_amb,diff_TB_amount_amb,Atheist_polarity_dis,Christian_polarity_dis,Protestant_polarity_dis,Catholic_polarity_dis,Mormon_polarity_dis,Jewish_polarity_dis,Muslim_polarity_dis,Sikh_polarity_dis,Hindu_polarity_dis,Buddhist_polarity_dis,TB_polarity_dis,PB_polarity_dis,diff_TB_polarity_dis,Atheist_amount_dis,Christian_amount_dis,Protestant_amount_dis,Catholic_amount_dis,Mormon_amount_dis,Jewish_amount_dis,Muslim_amount_dis,Sikh_amount_dis,Hindu_amount_dis,Buddhist_amount_dis,TB_amount_dis,PB_amount_dis,diff_TB_amount_dis
Baseline,0.0033744010951403,0.0595482546201231,0.05,-0.0533333333333332,0.7933333333333333,0.9433333333333334,0.0,0.0,0.0486111111111111,0.0,0.0694444444444444,0.053030303030303,-0.0151515151515151,0.0428571428571428,0.0121951219512195,0.0,-0.1969696969696969,0.0178571428571428,0.45611647837257563,0.0,0.0,0.0486111111111111,0.0,0.0694444444444444,0.053030303030303,0.0303030303030303,0.0428571428571428,0.0609756097560975,0.0,0.2121212121212121,0.0178571428571428,0.535199996480484,0.0,0.0,0.0138888888888888,0.0064102564102564,0.0277777777777777,0.0,0.0,0.0142857142857142,0.0182926829268292,0.0,-0.0833333333333333,0.0178571428571428,0.1818457964799424,0.0,0.0,0.0138888888888888,0.0064102564102564,0.0277777777777777,0.0,0.0,0.0142857142857142,0.0182926829268292,0.0,0.0833333333333333,0.0178571428571428,0.1818457964799424,0.0,0.0
Atheist,0.0032779097387173,0.0546318289786222,0.0566666666666666,-0.1366666666666666,0.685,0.94,-9.649135642300025e-05,-0.004916425641500903,0.0555555555555555,0.0,0.0833333333333333,0.0454545454545454,-0.0227272727272727,0.0428571428571428,0.024390243902439,0.0,-0.2196969696969697,0.0357142857142857,0.5297293492415441,0.0887643860204837,0.0736128708689685,0.0555555555555555,0.0,0.0833333333333333,0.0454545454545454,0.0378787878787878,0.0428571428571428,0.048780487804878,0.0,0.2348484848484848,0.0357142857142857,0.5844226234470132,0.08876438602048348,0.04922262696652924,0.0208333333333333,0.0,0.0277777777777777,0.0,0.0,0.0142857142857142,0.0182926829268292,0.0,-0.0757575757575757,0.0,0.1569470840812301,0.038787601287601295,-0.024898712398712303,0.0208333333333333,0.0,0.0277777777777777,0.0,0.0,0.0142857142857142,0.0182926829268292,0.0,0.0757575757575757,0.0,0.1569470840812301,0.038787601287601295,-0.024898712398712303
Christian,0.005037037037037,0.0755555555555556,0.0533333333333333,-0.1433333333333333,0.7316666666666667,0.9333333333333332,0.0016626359418966995,0.016007300935432497,0.0555555555555555,0.0128205128205128,0.0694444444444444,0.053030303030303,-0.0303030303030303,0.0428571428571428,0.0182926829268292,0.0,-0.2196969696969697,0.0357142857142857,0.5377149273490734,0.08159844897649779,0.08159844897649782,0.0555555555555555,0.0128205128205128,0.0972222222222222,0.053030303030303,0.0606060606060606,0.0428571428571428,0.0548780487804878,0.0,0.2348484848484848,0.0357142857142857,0.6475326164350552,0.1245277419057906,0.11233261995457122,0.0208333333333333,0.0,0.0277777777777777,0.0075757575757575,0.0,0.0214285714285714,0.0121951219512195,0.0,-0.0833333333333333,0.0,0.1731438953999927,0.052028019406068104,-0.008701901079949698,0.0208333333333333,0.0,0.0277777777777777,0.0075757575757575,0.0,0.0214285714285714,0.0121951219512195,0.0,0.0833333333333333,0.0,0.1731438953999927,0.052028019406068104,-0.008701901079949698
Protestant,0.0050150489089541,0.0699774266365689,0.065,-0.14,0.72,0.9283333333333332,0.0016406478138137996,0.010429172016445803,0.0555555555555555,0.0064102564102564,0.0833333333333333,0.053030303030303,-0.053030303030303,0.0428571428571428,0.0182926829268292,0.0,-0.1969696969696969,0.0357142857142857,0.5451935598277058,0.08907708145513021,0.08907708145513016,0.0555555555555555,0.0192307692307692,0.0833333333333333,0.053030303030303,0.0833333333333333,0.0428571428571428,0.0670731707317073,0.0,0.2424242424242424,0.0357142857142857,0.6825521362106726,0.14735213973018849,0.14735213973018857,0.0138888888888888,0.0,0.0277777777777777,0.0151515151515151,-0.0075757575757575,0.0142857142857142,0.0182926829268292,0.0,-0.0757575757575757,0.0,0.1727299123640582,0.054570429570429395,-0.009115884115884182,0.0138888888888888,0.0,0.0277777777777777,0.0151515151515151,0.0075757575757575,0.0142857142857142,0.0182926829268292,0.0,0.0757575757575757,0.0,0.1727299123640582,0.054570429570429395,-0.009115884115884182
Catholic,0.0043209876543209,0.0648148148148148,0.0566666666666666,-0.1833333333333333,0.7016666666666667,0.9333333333333332,0.0009465865591805995,0.005266560194691697,0.0555555555555555,0.0064102564102564,0.0694444444444444,0.053030303030303,-0.0378787878787878,0.0428571428571428,0.0060975609756097,0.0,-0.1893939393939394,0.0357142857142857,0.4963822762603247,0.06761243499048371,0.04026579788774909,0.0555555555555555,0.0064102564102564,0.0694444444444444,0.053030303030303,0.0681818181818181,0.0428571428571428,0.0670731707317073,0.0,0.2348484848484848,0.0357142857142857,0.6331154617739979,0.097915465293514,0.09791546529351391,0.0138888888888888,0.0,0.0277777777777777,0.0075757575757575,0.0,0.0214285714285714,0.0182926829268292,0.0,-0.0833333333333333,0.0,0.1722970119311579,0.0389860139860139,-0.009548784548784495,0.0138888888888888,0.0,0.0277777777777777,0.0075757575757575,0.0,0.0214285714285714,0.0182926829268292,0.0,0.0833333333333333,0.0,0.1722970119311579,0.0389860139860139,-0.009548784548784495
Mormon,0.0019905213270142,0.028436018957346,0.0433333333333333,-0.18,0.69,0.93,-0.0013838797681261002,-0.0311122356627771,0.0486111111111111,0.0064102564102564,0.0833333333333333,0.0378787878787878,0.0227272727272727,0.0428571428571428,0.0060975609756097,0.0,-0.2348484848484848,0.0357142857142857,0.5184782358562843,0.1351629400409889,0.062361757483708646,0.0625,0.0064102564102564,0.0833333333333333,0.0378787878787878,0.0984848484848484,0.0428571428571428,0.0670731707317073,0.0,0.2348484848484848,0.0357142857142857,0.6691003102588465,0.1642033440813929,0.13390031377836253,0.0138888888888888,0.0,0.0138888888888888,0.0,0.0,0.0142857142857142,0.0182926829268292,0.0,-0.0606060606060606,0.0,0.12096223559638161,0.060883560883560804,-0.06088356088356078,0.0138888888888888,0.0,0.0138888888888888,0.0,0.0,0.0142857142857142,0.0182926829268292,0.0,0.0606060606060606,0.0,0.12096223559638161,0.060883560883560804,-0.06088356088356078
Jewish,0.003301737756714,0.0521327014218009,0.0566666666666666,-0.1566666666666666,0.685,0.9366666666666666,-7.266333842630016e-05,-0.007415553198322197,0.0555555555555555,0.0,0.0694444444444444,0.053030303030303,-0.0303030303030303,0.0428571428571428,0.0121951219512195,0.0,-0.1969696969696969,0.0357142857142857,0.49606958082567815,0.0399531024531025,0.03995310245310252,0.0555555555555555,0.0,0.0694444444444444,0.053030303030303,0.0454545454545454,0.0428571428571428,0.0609756097560975,0.0,0.2424242424242424,0.0357142857142857,0.6054561292366167,0.07025613275613271,0.07025613275613274,0.0138888888888888,0.0,0.0277777777777777,-0.0151515151515151,0.0,0.0285714285714285,0.0121951219512195,0.0,-0.0606060606060606,0.0,0.1581907929468902,0.082529462407511,-0.023655003533052193,0.0138888888888888,0.0,0.0277777777777777,0.0151515151515151,0.0,0.0285714285714285,0.0121951219512195,0.0,0.0757575757575757,0.0,0.17334230809840528,0.0673779472559959,-0.008503488381537111
Muslim,0.0032081377151799,0.0469483568075117,0.055,-0.14,0.6866666666666666,0.9316666666666666,-0.0001662633799604002,-0.0125998978126114,0.0625,0.0064102564102564,0.0694444444444444,0.0454545454545454,-0.0227272727272727,0.0428571428571428,0.0121951219512195,0.0,-0.2121212121212121,0.0357142857142857,0.5094242816803791,0.0684593184593186,0.05330780330780349,0.0625,0.0064102564102564,0.0694444444444444,0.0606060606060606,0.0681818181818181,0.0428571428571428,0.0609756097560975,0.0,0.2424242424242424,0.0357142857142857,0.6491138603943479,0.1139138639138639,0.11391386391386393,0.0208333333333333,0.0,0.0277777777777777,0.0,0.0,0.0214285714285714,0.0182926829268292,0.0,-0.0909090909090909,0.0178571428571428,0.1970985992327453,0.0280733155733157,0.015252802752802913,0.0208333333333333,0.0,0.0277777777777777,0.0151515151515151,0.0,0.0214285714285714,0.0182926829268292,0.0,0.106060606060606,0.0178571428571428,0.2274016295357755,0.058376345876345895,0.045555833055833106
Sikh,0.0055582137161084,0.0813397129186603,0.065,-0.1733333333333333,0.6733333333333333,0.9316666666666666,0.0021838126209681,0.021791458298537195,0.0555555555555555,0.0,0.0833333333333333,0.0606060606060606,-0.0454545454545454,0.0428571428571428,0.0182926829268292,0.0138888888888888,-0.2121212121212121,0.0357142857142857,0.5678237074578534,0.1117072290852778,0.11170722908527775,0.0555555555555555,0.0128205128205128,0.0833333333333333,0.0606060606060606,0.0606060606060606,0.0428571428571428,0.0548780487804878,0.0138888888888888,0.2424242424242424,0.0357142857142857,0.6626841315865704,0.1396792570573057,0.12748413510608636,0.0208333333333333,0.0,0.0277777777777777,-0.0075757575757575,-0.0075757575757575,0.0214285714285714,0.0182926829268292,0.0138888888888888,-0.0833333333333333,0.0178571428571428,0.2185632456973915,0.0495379620379619,0.0367174492174491,0.0208333333333333,0.0,0.0277777777777777,0.0075757575757575,0.0075757575757575,0.0214285714285714,0.0182926829268292,0.0138888888888888,0.0984848484848484,0.0178571428571428,0.23371476084890658,0.064689477189477,0.05186896436896418
Hindu,0.0037320574162679,0.0574162679425838,0.0583333333333333,-0.1766666666666667,0.6783333333333333,0.935,0.0003576563211275998,-0.002131986677539298,0.0486111111111111,0.0064102564102564,0.0833333333333333,0.053030303030303,-0.053030303030303,0.0428571428571428,0.0121951219512195,0.0,-0.1818181818181818,0.0357142857142857,0.5170000392561366,0.0911865911865912,0.06088356088356095,0.0486111111111111,0.0064102564102564,0.0833333333333333,0.053030303030303,0.053030303030303,0.0428571428571428,0.0609756097560975,0.0,0.2424242424242424,0.0357142857142857,0.6263865876670752,0.0911865911865912,0.09118659118659123,0.0208333333333333,0.0,0.0277777777777777,0.0,0.0,0.0214285714285714,0.0182926829268292,0.0,-0.0833333333333333,0.0,0.1716656987998449,0.0383547008547009,-0.010180097680097505,0.0208333333333333,0.0,0.0277777777777777,0.0,0.0,0.0214285714285714,0.0182926829268292,0.0,0.0833333333333333,0.0,0.1716656987998449,0.0383547008547009,-0.010180097680097505
