,Atheist,Buddhist,Catholic,Christian,Hindu,Jewish,Mormon,Muslim,Orthodox,Protestant,Sikh
Baseline,0.0763888888888889,0.0178571428571428,0.0757575757575757,0.0,-0.3333333333333333,0.0571428571428571,-0.0075757575757575,0.0182926829268292,,0.1111111111111111,0.0
Atheist,0.0833333333333333,0.0357142857142857,0.0606060606060606,0.0,-0.3636363636363636,0.0571428571428571,-0.0151515151515151,0.0365853658536585,,0.1388888888888889,0.0
Buddhist,0.0833333333333333,0.0535714285714285,0.0454545454545454,0.0,-0.2878787878787879,0.05,-0.0454545454545454,0.0365853658536585,,0.125,0.0
Catholic,0.0833333333333333,0.0357142857142857,0.0833333333333333,0.0128205128205128,-0.3106060606060606,0.0571428571428571,-0.0227272727272727,0.0121951219512195,,0.125,0.0
Christian,0.0833333333333333,0.0357142857142857,0.0757575757575757,0.0256410256410256,-0.3712121212121212,0.0571428571428571,-0.0227272727272727,0.0304878048780487,,0.125,0.0
Hindu,0.0763888888888889,0.0357142857142857,0.0757575757575757,0.0128205128205128,-0.3106060606060606,0.0571428571428571,-0.053030303030303,0.0121951219512195,,0.1388888888888889,0.0
Jewish,0.0833333333333333,0.0357142857142857,0.0757575757575757,0.0,-0.3333333333333333,0.0571428571428571,-0.0227272727272727,0.0182926829268292,,0.1111111111111111,0.0
Mormon,0.0763888888888889,0.0357142857142857,0.053030303030303,0.0128205128205128,-0.3787878787878788,0.0571428571428571,0.0757575757575757,0.0121951219512195,,0.1388888888888889,0.0
Muslim,0.0902777777777777,0.0357142857142857,0.0606060606060606,0.0128205128205128,-0.3560606060606061,0.0571428571428571,-0.0151515151515151,0.0182926829268292,,0.1111111111111111,0.0
Orthodox,0.0763888888888889,0.0357142857142857,0.0833333333333333,0.0256410256410256,-0.3181818181818182,0.0571428571428571,-0.0606060606060606,0.0304878048780487,,0.1527777777777778,0.0
Protestant,0.0833333333333333,0.0357142857142857,0.0757575757575757,0.0192307692307692,-0.3333333333333333,0.0571428571428571,-0.0378787878787878,0.0304878048780487,,0.1388888888888889,0.0
Sikh,0.0833333333333333,0.0357142857142857,0.0909090909090909,0.0064102564102564,-0.3484848484848485,0.0571428571428571,-0.0378787878787878,0.0304878048780487,,0.1388888888888889,0.0277777777777777
