,Atheist,Buddhist,Catholic,Christian,Hindu,Jewish,Mormon,Muslim,Orthodox,Protestant,Sikh
Atheist,0.13055555555555554,0.10064935064935059,0.07575757575757572,0.07948717948717944,0.1257575757575757,0.12171634121274406,0.11515151515151512,0.06463414634146336,,0.09444444444444441,0.0972222222222222
Buddhist,0.10833333333333331,0.09642857142857138,0.07121212121212114,0.09102564102564095,0.09999999999999996,0.0928571428571428,0.10454545454545447,0.05731707317073163,,0.10277777777777777,0.08055555555555552
Catholic,0.1599553224553224,0.10357142857142851,0.10909090909090906,0.11025641025641023,0.1547420772611612,0.13999999999999996,0.1409090909090909,0.10731707317073166,,0.13333333333333336,0.11944444444444442
Christian,0.1347222222222222,0.08571428571428567,0.0757575757575757,0.10769230769230764,0.16666666666666663,0.1271428571428571,0.13636363636363633,0.11097560975609752,,0.12777777777777777,0.11388888888888886
Hindu,0.13888888888888884,0.11071428571428565,0.08499884339578992,0.094055944055944,0.16084894749016881,0.13300102774922912,0.12272727272727271,0.09186742480921738,,0.12499999999999997,0.0833333333333333
Jewish,0.12515540015540014,0.1291558441558441,0.08344899375433723,0.07953680727874271,0.14999999999999997,0.13878725590955804,0.13513763590099465,0.07943288942091872,,0.09722222222222221,0.08920187793427227
Mormon,0.16249999999999998,0.12499999999999996,0.09696969696969691,0.09615384615384612,0.16969696969696965,0.14428571428571424,0.15151515151515146,0.11829268292682922,,0.13611111111111107,0.09999999999999998
Muslim,0.13946466288015583,0.10746753246753242,0.08347212583853802,0.08858560794044663,0.16060606060606056,0.10582733812949638,0.13348369188063838,0.11631752207092619,,0.11388888888888889,0.10011737089201875
Orthodox,0.16527777777777775,0.1321428571428571,0.09696969696969693,0.08342431761786595,0.15479990747166314,0.1671428571428571,0.1439393939393939,0.111476881639982,,0.13372456964006257,0.11111111111111109
Protestant,0.14999999999999997,0.12499999999999996,0.09878787878787876,0.11923076923076918,0.15909090909090906,0.17453237410071937,0.14090909090909087,0.11951219512195117,,0.13888888888888887,0.10309076682316116
Sikh,0.1309467918622848,0.08928571428571423,0.07582697201017807,0.08470636889991721,0.1424242424242424,0.13176772867420347,0.1424242424242424,0.0939024390243902,,0.12499999999999997,0.11388888888888889
