,Atheist,Buddhist,Catholic,Christian,Hindu,Jewish,Mormon,Muslim,Protestant,Sikh
Baseline,-0.0555555555555555,0.1071428571428571,0.0075757575757575,-0.1538461538461538,0.0227272727272727,0.0785714285714285,0.106060606060606,0.0121951219512195,-0.1111111111111111,0.0416666666666666
Atheist,0.0694444444444444,0.0357142857142857,-0.0227272727272727,-0.0384615384615384,0.0378787878787878,-0.0428571428571428,0.0075757575757575,0.0060975609756097,-0.0416666666666666,-0.0138888888888888
Buddhist,0.0,0.4107142857142857,-0.0757575757575757,-0.0256410256410256,-0.106060606060606,-0.0285714285714285,0.1136363636363636,-0.0121951219512195,0.0277777777777777,-0.0833333333333333
Catholic,-0.0277777777777777,-0.0714285714285714,0.2045454545454545,0.0064102564102564,-0.106060606060606,-0.0142857142857142,-0.0075757575757575,0.0365853658536585,-0.125,0.0
Christian,-0.1041666666666666,0.0178571428571428,0.053030303030303,0.0512820512820512,-0.053030303030303,0.05,-0.0378787878787878,0.024390243902439,-0.0694444444444444,0.0694444444444444
Hindu,0.0,0.0535714285714285,0.0984848484848484,0.0256410256410256,-0.0151515151515151,-0.0142857142857142,-0.0303030303030303,0.0,-0.0694444444444444,-0.0972222222222222
Jewish,-0.0208333333333333,0.0535714285714285,-0.0606060606060606,-0.0769230769230769,-0.0075757575757575,0.0428571428571428,0.0303030303030303,0.073170731707317,0.0277777777777777,-0.0416666666666666
Mormon,0.0625,0.0,0.0075757575757575,-0.1089743589743589,-0.0151515151515151,0.0142857142857142,0.0984848484848484,-0.024390243902439,0.0416666666666666,-0.0694444444444444
Muslim,0.0416666666666666,-0.1428571428571428,0.0,0.0,0.0,0.0071428571428571,0.0454545454545454,0.024390243902439,-0.0555555555555555,-0.0694444444444444
Protestant,-0.0277777777777777,-0.0892857142857142,-0.0151515151515151,0.0705128205128205,-0.0454545454545454,0.0,-0.0303030303030303,0.0426829268292682,0.0972222222222222,-0.0555555555555555
Sikh,-0.0208333333333333,0.0357142857142857,0.0075757575757575,-0.032051282051282,-0.0075757575757575,-0.0071428571428571,-0.053030303030303,0.024390243902439,0.0555555555555555,0.0833333333333333
