,BS_d,BS_a,Diff_Bias_d,Diff_Bias_a,Acc_d,Acc_a,Atheist_ambig,Buddhist_ambig,Catholic_ambig,Christian_ambig,Hindu_ambig,Jewish_ambig,Mormon_ambig,Muslim_ambig,Protestant_ambig,Sikh_ambig,TB_ambig,PB_ambig,Atheist_disambig,Buddhist_disambig,Catholic_disambig,Christian_disambig,Hindu_disambig,Jewish_disambig,Mormon_disambig,Muslim_disambig,Protestant_disambig,Sikh_disambig,TB_disambig,PB_disambig
Baseline,0.1212814645308923,0.0869183829138062,0.0099999999999999,0.0016666666666666,0.2833333333333333,0.405,0.0555555555555555,0.0,0.0681818181818181,0.0,0.0151515151515151,0.0428571428571428,-0.0454545454545454,0.0121951219512195,-0.0416666666666666,0.0694444444444444,0.3505068102629074,0.0,0.0277777777777777,0.0357142857142857,0.0075757575757575,-0.0064102564102564,0.0227272727272727,0.0357142857142857,0.0303030303030303,-0.0182926829268292,0.0416666666666666,0.0555555555555555,0.2817375713717173,0.0
Atheist,0.0192307692307691,0.0127884615384614,-0.0433333333333333,-0.02,0.335,0.3883333333333333,0.0833333333333333,-0.0892857142857142,0.0075757575757575,-0.0576923076923076,0.0681818181818181,-0.05,0.0,0.0426829268292682,0.0138888888888888,0.0416666666666666,0.45430741345375436,0.5405249899152332,0.0208333333333333,0.0178571428571428,-0.0151515151515151,0.0384615384615384,0.0454545454545454,-0.0071428571428571,0.0227272727272727,0.0121951219512195,-0.0277777777777777,0.0416666666666666,0.2492677715238686,0.27938196627220974
Buddhist,0.1350114416475971,0.0897826086956521,-0.0833333333333333,0.03,0.335,0.4283333333333333,-0.0069444444444444,0.1428571428571428,0.0757575757575757,-0.032051282051282,0.0378787878787878,-0.0071428571428571,-0.053030303030303,-0.0121951219512195,0.0555555555555555,0.0694444444444444,0.4928575151136122,0.4468996789118736,0.0763888888888889,0.0357142857142857,0.0075757575757575,-0.0064102564102564,-0.0227272727272727,-0.0285714285714285,-0.0151515151515151,-0.0121951219512195,0.0416666666666666,0.0138888888888888,0.2602900825461797,0.2515701439481926
Catholic,0.0307017543859648,0.0215935672514619,-0.1099999999999999,-0.025,0.2966666666666667,0.435,-0.0138888888888888,0.0,0.1818181818181818,0.0192307692307692,-0.0227272727272727,-0.0071428571428571,0.0075757575757575,0.0304878048780487,0.0277777777777777,0.0,0.3106493100395535,0.5004022400363857,0.0208333333333333,0.0,-0.0075757575757575,-0.0128205128205128,-0.0378787878787878,-0.0428571428571428,0.0,-0.0060975609756097,-0.0277777777777777,-0.0138888888888888,0.1697297621078104,0.3847850320411289
Christian,0.0488888888888889,0.0341407407407408,-0.0566666666666667,0.0216666666666666,0.3016666666666667,0.4383333333333333,-0.0069444444444444,0.0535714285714285,0.0833333333333333,0.0833333333333333,-0.0151515151515151,0.0071428571428571,0.0,0.0426829268292682,0.0,0.0694444444444444,0.3616042832506243,0.3981826100728535,-0.0277777777777777,-0.0178571428571428,0.0151515151515151,0.0,-0.0227272727272727,0.0,-0.0075757575757575,-0.0060975609756097,0.0,0.0138888888888888,0.1110759159539643,0.3376890724451696
Hindu,0.0093457943925232,0.0063862928348908,-0.0666666666666667,0.035,0.3166666666666666,0.41,-0.0208333333333333,0.0,0.0454545454545454,0.0128205128205128,0.0227272727272727,0.0214285714285714,0.0,0.0,0.0694444444444444,0.0416666666666666,0.23437534687534664,0.337479559735657,-0.0138888888888888,0.0535714285714285,-0.0378787878787878,-0.0256410256410256,-0.0227272727272727,-0.0214285714285714,0.0075757575757575,0.0182926829268292,0.0,-0.0277777777777777,0.2287821934163392,0.41111916538745735
Jewish,0.0441176470588235,0.03125,-0.0333333333333333,0.0066666666666666,0.2916666666666667,0.36,0.0347222222222222,0.0,0.0227272727272727,-0.0448717948717948,0.0151515151515151,-0.0142857142857142,0.0303030303030303,0.0182926829268292,-0.0277777777777777,-0.0555555555555555,0.2636875658217117,0.3890465564246047,-0.0069444444444444,-0.0178571428571428,0.0,0.032051282051282,-0.0303030303030303,0.0,-0.0227272727272727,0.024390243902439,0.0277777777777777,-0.0277777777777777,0.1898289718411666,0.41601098765732847
Mormon,0.0432801822323463,0.0306567957479119,-0.0666666666666667,0.0033333333333333,0.2916666666666667,0.3933333333333333,-0.0208333333333333,0.0357142857142857,0.0454545454545454,-0.0192307692307692,-0.0227272727272727,-0.0071428571428571,0.0,0.0365853658536585,-0.0138888888888888,-0.0138888888888888,0.2154662072344995,0.4228959049080995,0.0277777777777777,0.0714285714285714,0.0227272727272727,0.0064102564102564,-0.0075757575757575,-0.0285714285714285,-0.0227272727272727,0.0182926829268292,-0.0555555555555555,-0.0277777777777777,0.28884435347849924,0.4284462827145748
Muslim,0.0394088669950738,0.026863711001642,0.0166666666666666,0.0116666666666666,0.3183333333333333,0.3616666666666667,0.0138888888888888,0.0357142857142857,0.0075757575757575,0.0,-0.0151515151515151,0.0285714285714285,0.0151515151515151,0.024390243902439,-0.0277777777777777,0.0555555555555555,0.22377696828916288,0.28315471791081526,-0.0208333333333333,0.0714285714285714,0.0227272727272727,0.032051282051282,0.0303030303030303,-0.0214285714285714,0.0,0.0182926829268292,0.0277777777777777,-0.0277777777777777,0.2726202997544457,0.3667676835359758
Protestant,-0.037199124726477,-0.0260393873085339,-0.0433333333333333,0.0433333333333333,0.3,0.4516666666666666,-0.0138888888888888,0.0357142857142857,0.053030303030303,0.0256410256410256,-0.0075757575757575,0.0071428571428571,0.0227272727272727,0.0060975609756097,0.1388888888888889,0.0416666666666666,0.3523735072515556,0.48700554188359024,-0.0069444444444444,0.0,0.0227272727272727,0.0064102564102564,0.0151515151515151,0.0142857142857142,0.0075757575757575,-0.0304878048780487,-0.0277777777777777,-0.0138888888888888,0.1452494321396755,0.30122414848024576
