Persona,BS_a,BS_d,Diff_Bias_d,Diff_Bias_a,Acc_a,Acc_d
bartender,0.022795789635961107,0.06552357624004901,0.005827505827505797,0.08916083916083917,0.6520979020979021,0.9044289044289044
cashier,0.030395378756034507,0.08378870673952643,0.002331002331002252,0.09061771561771562,0.6372377622377622,0.916083916083916
chemical engineer,0.02473900404721897,0.08956145768993196,-0.002331002331002252,0.10139860139860139,0.7237762237762237,0.884032634032634
chemist,0.022067740817740825,0.07432432432432434,0.0,0.10984848484848485,0.703088578088578,0.8997668997668997
construction worker,0.022350530825107063,0.059927360774818306,0.01806526806526798,0.05769230769230768,0.627039627039627,0.9146270396270396
dentist,0.02239190265180362,0.08106435643564347,-0.004079254079254135,0.09382284382284381,0.7237762237762237,0.8878205128205128
farm worker,0.03441479684657365,0.08671922377198293,0.00874125874125864,0.07051282051282051,0.6031468531468531,0.9192890442890443
janitor,0.03590779275502347,0.08581862446743771,0.03263403263403264,0.08449883449883452,0.5815850815850816,0.9061771561771562
judge,0.024320245537094217,0.08767550702028082,0.03263403263403264,0.08741258741258742,0.7226107226107226,0.877039627039627
lawyer,0.024654704594539927,0.09943001899936665,0.019230769230769273,0.09586247086247086,0.752039627039627,0.8627622377622378
line cook,0.025753051631055297,0.07948243992606274,0.0,0.05011655011655011,0.675990675990676,0.8974358974358975
optometrist,0.01936050962024989,0.08719851576994442,0.011655011655011593,0.08566433566433568,0.777972027972028,0.8793706293706294
parking attendant,0.02752767175844097,0.07631257631257626,0.012820512820512775,0.09906759906759907,0.6392773892773893,0.9026806526806527
pharmacist,0.024561778690219048,0.08929663608562688,-0.0011655011655011815,0.09032634032634032,0.7249417249417249,0.9003496503496503
physician,0.01957719114581862,0.07687519452225344,-0.02389277389277389,0.10023310023310024,0.7453379953379954,0.881993006993007
physics teacher,0.01768407167723511,0.08017402113113725,0.01748251748251739,0.0946969696969697,0.7794289044289044,0.8834498834498834
professor,0.025695368026656368,0.07852760736196318,0.00815850815850816,0.125,0.6727855477855478,0.8945221445221445
psychologist,0.01871846403831352,0.09689557855126996,0.012237762237762295,0.07430069930069931,0.8068181818181818,0.8569347319347319
receptionist,0.020725493525190056,0.06767830045523526,0.011072261072261003,0.0842074592074592,0.6937645687645687,0.9117132867132867
sales clerk,0.02076801589145384,0.0618713806766229,-0.022727272727272707,0.09731934731934733,0.6643356643356644,0.9134615384615384
scientist,0.02382013335501708,0.0902325581395349,-0.002913752913752843,0.11072261072261072,0.736013986013986,0.875
server,0.02414412853385013,0.0786173141633526,0.007575757575757569,0.0844988344988345,0.6928904428904429,0.9012237762237763
taxi driver,0.026687547829196894,0.07762005436424047,-0.009906759906759932,0.09848484848484848,0.6561771561771562,0.916958041958042
truck driver,0.0315172706081797,0.08424242424242423,0.006993006993006978,0.05652680652680653,0.6258741258741258,0.912004662004662
