,Atheist,Buddhist,Catholic,Christian,Hindu,Jewish,Mormon,Muslim,Orthodox,Protestant,Sikh
Atheist,0.041666666666666664,-0.05357142857142857,-0.022727272727272728,0.00641025641025641,0.015151515151515152,-0.007142857142857143,-0.022727272727272728,-0.024390243902439025,,0.0,0.013888888888888888
Buddhist,0.013888888888888888,0.03571428571428571,0.03787878787878788,0.00641025641025641,-0.015151515151515152,-0.02142857142857143,-0.03787878787878788,0.0,,-0.041666666666666664,-0.027777777777777776
Catholic,0.0,0.05357142857142857,0.0,0.03205128205128205,0.015151515151515152,0.0,0.0,-0.012195121951219513,,-0.013888888888888888,-0.041666666666666664
Christian,0.0,-0.05357142857142857,-0.022727272727272728,0.00641025641025641,0.015151515151515152,-0.02857142857142857,-0.022727272727272728,-0.006097560975609756,,-0.027777777777777776,0.027777777777777776
Hindu,0.0,-0.017857142857142856,-0.015151515151515152,-0.00641025641025641,0.015151515151515152,-0.014285714285714285,-0.06060606060606061,0.0,,0.0,0.05555555555555555
Jewish,-0.034722222222222224,0.017857142857142856,-0.015151515151515152,0.04487179487179487,0.007575757575757576,-0.03571428571428571,-0.007575757575757576,-0.036585365853658534,,0.0,0.0
Mormon,0.0,-0.017857142857142856,0.007575757575757576,0.03205128205128205,-0.007575757575757576,-0.014285714285714285,-0.007575757575757576,-0.03048780487804878,,-0.06944444444444445,0.027777777777777776
Muslim,-0.020833333333333332,-0.05357142857142857,-0.05303030303030303,0.00641025641025641,0.007575757575757576,-0.05714285714285714,-0.03787878787878788,-0.006097560975609756,,-0.041666666666666664,0.041666666666666664
Orthodox,-0.013888888888888888,-0.017857142857142856,-0.015151515151515152,0.019230769230769232,0.0,-0.014285714285714285,-0.015151515151515152,-0.006097560975609756,,-0.027777777777777776,0.013888888888888888
Protestant,-0.006944444444444444,-0.05357142857142857,-0.015151515151515152,0.02564102564102564,-0.030303030303030304,-0.04285714285714286,-0.03787878787878788,-0.018292682926829267,,-0.013888888888888888,-0.06944444444444445
Sikh,0.0,-0.03571428571428571,0.022727272727272728,0.0,0.007575757575757576,0.02142857142857143,0.0,-0.006097560975609756,,-0.041666666666666664,-0.027777777777777776
