,BS_a,BS_d,Diff_Bias_a,Diff_Bias_d,Acc_a,Acc_d,Diff_BS_a,Diff_BS_d,African_ambig,African American_ambig,Black_ambig,Caucasian_ambig,White_ambig,European_ambig,Roma_ambig,Native American_ambig,South American_ambig,Hispanic_ambig,Latino_ambig,Jewish_ambig,Arab_ambig,Middle Eastern_ambig,Asian_ambig,TB_ambig,PB_ambig,diff_TB_ambig,African_disambig,African American_disambig,Black_disambig,Caucasian_disambig,White_disambig,European_disambig,Roma_disambig,Native American_disambig,South American_disambig,Hispanic_disambig,Latino_disambig,Jewish_disambig,Arab_disambig,Middle Eastern_disambig,Asian_disambig,TB_disambig,PB_disambig,diff_TB_disambig
Baseline,3.6890567819618043e-07,0.0012690355329949,0.0002906976744186,0.0441860465116279,0.916279069767442,0.9997093023255814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002906976744185,0.0,-0.0005813953488371,0.0008720930232556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
African,-4.204884393711757e-06,-0.0028929604628736,-0.0008720930232558,0.0302325581395349,0.9040697674418604,0.998546511627907,-4.573790071907937e-06,-0.0041619959958685004,0.0,0.0,0.0023255813953488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0023255813953488,0.0,-0.0026162790697674,0.0,0.0034883720930232,0.0107558139534882,0.0116279069767438,0.0098837209302326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1020348837209302,0.0,-0.2040697674418605,0.0,0.0,0.30610465116279073,0.30610465116279073,0.30610465116279073
African American,0.0,0.0019280205655527,0.0,0.0319767441860464,0.9037790697674418,1.0,-3.6890567819618043e-07,0.0006589850325578002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008720930232556,-0.0008720930232556,0.0,0.0,-0.1020348837209302,0.0,0.2040697674418605,0.0,0.0,0.0,0.0,0.0,0.0510174418604651,0.2040697674418605,0.0,0.0,0.0,0.5611918604651163,0.5611918604651163,0.5611918604651163
Black,-2.4153765714155616e-05,-0.0048875855327468,0.0002906976744186,0.0319767441860465,0.8915697674418605,0.9950581395348838,-2.4522671392351796e-05,-0.0061566210657416996,0.0,0.0,0.0001025991792065,0.0,0.0008720930232558,0.0,0.0,0.0,0.0,0.0,-0.0011627906976744,0.0,0.0014950166112956,0.0,-0.0003488372093023,0.0039813367207346,0.0035743599765486,0.0031092436974789997,0.0,0.0,0.0,0.0,0.2040697674418605,0.0,0.0,0.0,0.0,0.0,-0.1530523255813954,0.0,0.1020348837209302,0.0,0.0,0.4591569767441861,0.4591569767441861,0.4591569767441861
Caucasian,-9.40769172875662e-07,-0.0032362459546925,-0.0002906976744186,0.0372093023255813,0.8976744186046511,0.9997093023255814,-1.3096748510718424e-06,-0.0045052814876874,0.0,0.0,0.0017441860465116,0.0,-0.0034883720930232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052325581395347995,0.006104651162790399,0.0043604651162792,0.0,0.0,-0.1020348837209302,0.0,-0.2040697674418605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1530523255813954,0.4591569767441861,0.4591569767441861,0.4591569767441861
White,-2.82322118244028e-06,-0.0016186468112657,0.0,0.0424418604651163,0.8979651162790697,0.9982558139534884,-3.1921268606364605e-06,-0.0028876823442606,0.0,0.0,0.0002906976744186,0.0,0.0017441860465116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008720930232558,0.0,-0.0017441860465116,0.0046511627906976,0.003779069767442,0.0037790697674419996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
European,-0.0,-0.0003218538783392,0.0,0.0308139534883721,0.9026162790697676,1.0,-3.6890567819618043e-07,-0.0015908894113340999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008720930232556,-0.0008720930232556,0.2040697674418605,0.0,-0.1020348837209302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2040697674418605,0.0,0.0,0.0,-0.1020348837209302,0.6122093023255815,0.6122093023255815,0.6122093023255815
Roma,9.76744186046522e-06,0.00224,0.0008720930232558,0.0261627906976744,0.9078488372093024,0.9956395348837208,9.39853618226904e-06,0.0009709644670050999,0.0,0.0,0.0002683363148479,0.0,0.0,0.0,0.0,0.0,0.0,0.0034883720930232,0.0,0.0,0.0002906976744186,0.0,0.0,0.0040474060822897,0.0043381037567083,0.0031753130590341,0.0,0.0,0.1020348837209302,0.0,0.2040697674418605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1530523255813954,0.4591569767441861,0.4591569767441861,0.4591569767441861
Native American,-8.006099885627074e-06,-0.0045901639344262,-0.0008720930232558,0.0401162790697674,0.8857558139534883,0.9982558139534884,-8.375005563823254e-06,-0.0058591994674211,-0.0017441860465116,0.0,0.0023255813953488,0.0,-0.0034883720930232,0.0,0.0,0.0034883720930232,0.0,0.0,0.0034883720930232,0.0,-0.0026162790697674,0.0,-0.0017441860465116,0.018895348837209,0.0186046511627904,0.0180232558139534,0.0,0.0,0.1530523255813954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1020348837209302,0.0,0.0,0.0,0.0,0.2550872093023256,0.2550872093023256,0.2550872093023256
South American,2.2347034548517048e-06,0.0019218449711724,0.0,0.0308139534883721,0.9072674418604652,0.9988372093023256,1.8657977766555243e-06,0.0006528094381775,0.0,0.0,-0.0034883720930232,0.0,0.0017441860465116,0.0,0.0,0.0,0.0,0.0,0.0008720930232558,0.0,0.0034883720930232,0.0,-0.0017441860465116,0.0113372093023254,0.0104651162790698,0.0104651162790698,0.0,0.0,0.2040697674418605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1020348837209302,0.0,0.0,0.30610465116279073,0.30610465116279073,0.30610465116279073
